stage,seed,n_video,video,backbone,accuracy,f1
FE,1665,full,55,CEN-BB,0.840887174541948,0.7062773812246591
FE,1665,full,74,CEN-BB,0.5385556915544676,0.5303010037325183
FE,1665,full,59,CEN-BB,0.8508604206500956,0.761212233098527
FE,1665,full,61,CEN-BB,0.7688818326151055,0.5718181621331203
FE,1665,full,60,CEN-BB,0.575434439178515,0.47976317017067827
FE,1665,full,80,CEN-BB,0.8225058004640371,0.6587175649193167
FE,1665,full,79,CEN-BB,0.6918570591681312,0.5476049159668249
FE,1665,full,52,CEN-BB,0.8199389623601221,0.7561347523410235
FE,1665,full,68,CEN-BB,0.7718052738336714,0.7001674276533276
FE,1665,full,51,CEN-BB,0.7286005434782609,0.6461723954195834
FE,1665,full,72,CEN-BB,0.689311010946555,0.6155290844383724
FE,1665,full,67,CEN-BB,0.7679558011049724,0.6390523694776167
FE,1665,full,64,CEN-BB,0.774395329441201,0.6333170735848687
FE,1665,full,73,CEN-BB,0.7463126843657817,0.6123939561997324
FE,1665,full,62,CEN-BB,0.6993110236220472,0.6857754433324329
FE,8914,full,65,CEN-BB,0.7794981313400962,0.5597075627563063
FE,8914,full,77,CEN-BB,0.82414068745004,0.7193256292550718
FE,8914,full,50,CEN-BB,0.7559414990859232,0.6307565564076948
FE,8914,full,69,CEN-BB,0.846775956284153,0.6219390033895903
FE,8914,full,71,CEN-BB,0.7403578528827037,0.5287995565107203
FE,8914,full,63,CEN-BB,0.6012234197494902,0.4622651869427398
FE,8914,full,57,CEN-BB,0.6519756838905775,0.5725621976727558
FE,8914,full,56,CEN-BB,0.6477644492911668,0.5506069844692362
FE,8914,full,58,CEN-BB,0.5257800767562156,0.392851253998578
FE,8914,full,78,CEN-BB,0.706359945872801,0.6055038652481194
FE,8914,full,75,CEN-BB,0.5803432137285491,0.4084674315151111
FE,8914,full,49,CEN-BB,0.7247157390783961,0.5770491972441597
FE,8914,full,54,CEN-BB,0.6496774193548387,0.5690049757082607
FE,8914,full,66,CEN-BB,0.8338815789473685,0.6970032143191031
FE,8914,full,76,CEN-BB,0.762551906379766,0.6023297988183044
FE,8914,full,70,CEN-BB,0.6834170854271356,0.630499334374944
FE,8914,full,53,CEN-BB,0.8172403289674078,0.6177453983360452
FE,8914,full,55,CEN-BB,0.8158148505303761,0.6354230088487929
FE,8914,full,74,CEN-BB,0.5171358629130967,0.5154085436866142
FE,8914,full,59,CEN-BB,0.8604206500956023,0.7870650751868281
FE,8914,full,61,CEN-BB,0.7754592878203674,0.5788026573003169
FE,8914,full,60,CEN-BB,0.5718799368088467,0.4660427877503038
FE,8914,full,80,CEN-BB,0.83584686774942,0.6623116613396801
FE,8914,full,79,CEN-BB,0.6675454012888108,0.5061225676001883
FE,8914,full,52,CEN-BB,0.8133265513733469,0.749016295675778
FE,8914,full,68,CEN-BB,0.7753549695740365,0.7151834101526922
FE,8914,full,51,CEN-BB,0.7415081521739131,0.6996858152705148
FE,8914,full,72,CEN-BB,0.6709594333547971,0.5554396812818109
FE,8914,full,67,CEN-BB,0.7598810029749257,0.6495911912821792
FE,8914,full,64,CEN-BB,0.7572977481234362,0.5727848560154928
FE,8914,full,73,CEN-BB,0.745575221238938,0.600282068517348
FE,8914,full,62,CEN-BB,0.6825787401574803,0.686358654856126
FE,37,2,65,FL-BB,0.5792845702082221,0.32552518252181617
FE,37,2,77,FL-BB,0.5607513988808953,0.3670639193878721
FE,37,2,50,FL-BB,0.3656307129798903,0.29229593610921983
FE,37,2,69,FL-BB,0.45049180327868854,0.1709210583209541
FE,37,2,71,FL-BB,0.447713717693837,0.24647348723573217
FE,37,2,63,FL-BB,0.26361782697349256,0.1868542557171817
FE,37,2,57,FL-BB,0.3958966565349544,0.32437833184052683
FE,37,2,56,FL-BB,0.27699018538713194,0.17965300780675136
FE,37,2,58,FL-BB,0.40997830802603036,0.19990826480318594
FE,37,2,78,FL-BB,0.20974289580514208,0.2076706710195495
FE,37,2,75,FL-BB,0.7150286011440458,0.31979421852548207
FE,37,2,49,FL-BB,0.5577498503889886,0.42724255987010296
FE,37,2,54,FL-BB,0.47419354838709676,0.3620664352668434
FE,37,2,66,FL-BB,0.5745614035087719,0.2862559944558223
FE,37,2,76,FL-BB,0.39750849377123443,0.2148802442457738
FE,37,2,70,FL-BB,0.31993299832495814,0.19484069189623984
FE,37,2,53,FL-BB,0.46603716113310995,0.27862903773163217
FE,37,2,55,FL-BB,0.4165863066538091,0.24266424472363093
FE,37,2,74,FL-BB,0.27968176254589966,0.21195379531918754
FE,37,2,59,FL-BB,0.31644359464627153,0.20101885078211193
FE,37,2,61,FL-BB,0.6323429349058743,0.29290067209659526
FE,37,2,60,FL-BB,0.39849921011058453,0.3322925947464234
FE,37,2,80,FL-BB,0.6995359628770301,0.3068158097342841
FE,37,2,79,FL-BB,0.4273579379027534,0.24223843397121905
FE,37,2,52,FL-BB,0.4674465920651068,0.40362074494387784
FE,37,2,68,FL-BB,0.533975659229209,0.4476885341623861
FE,37,2,51,FL-BB,0.296875,0.24116986347589114
FE,37,2,72,FL-BB,0.4839021249195106,0.2957889598181911
FE,37,2,67,FL-BB,0.3166170845728857,0.23825043144811656
FE,37,2,64,FL-BB,0.3648874061718098,0.2611348081634252
FE,37,2,73,FL-BB,0.45132743362831856,0.31237612809097987
FE,37,2,62,FL-BB,0.37106299212598426,0.2936551689647778
FE,1665,2,65,FL-BB,0.6508275493860117,0.35553340337279904
FE,1665,2,77,FL-BB,0.4860111910471623,0.4666851521012982
FE,1665,2,50,FL-BB,0.3583180987202925,0.2101334310554683
FE,1665,2,69,FL-BB,0.4926775956284153,0.22979255199316873
FE,1665,2,71,FL-BB,0.45765407554671966,0.23967847861933436
FE,1665,2,63,FL-BB,0.1485581124381008,0.10676554806746599
FE,1665,2,57,FL-BB,0.4768237082066869,0.33958646538291004
FE,1665,2,56,FL-BB,0.2895310796074155,0.17977493737002379
FE,1665,2,58,FL-BB,0.36225596529284165,0.20121917709775633
