stage,seed,n_video,video,backbone,accuracy,f1
S2,1665,2,31,FL-BB,0.49709975719451904,0.5129
S2,8914,2,0,FL-BB,0.594853401184082,0.6964
S2,8914,2,1,FL-BB,0.8208409547805786,0.7086
S2,8914,2,2,FL-BB,0.5835598111152649,0.756
S2,8914,2,3,FL-BB,0.6937944889068604,0.7167
S2,8914,2,4,FL-BB,0.6445324420928955,0.5694
S2,8914,2,5,FL-BB,0.4809677302837372,0.6414
S2,8914,2,6,FL-BB,0.869816780090332,0.7737
S2,8914,2,7,FL-BB,0.5627044439315796,0.588
S2,8914,2,8,FL-BB,0.5892857313156128,0.5726
S2,8914,2,9,FL-BB,0.3418988883495331,0.5264
S2,8914,2,10,FL-BB,0.8671128153800964,0.7921
S2,8914,2,11,FL-BB,0.28436020016670227,0.4862
S2,8914,2,12,FL-BB,0.6745293736457825,0.6115
S2,8914,2,13,FL-BB,0.5063976645469666,0.7531
S2,8914,2,14,FL-BB,0.40285465121269226,0.561
S2,8914,2,15,FL-BB,0.5863219499588013,0.6319
S2,8914,2,16,FL-BB,0.7010143995285034,0.6598
S2,8914,2,17,FL-BB,0.7872806787490845,0.7944
S2,8914,2,18,FL-BB,0.4751381278038025,0.6922
S2,8914,2,19,FL-BB,0.6840770840644836,0.7289
S2,8914,2,20,FL-BB,0.5846994519233704,0.6358
S2,8914,2,21,FL-BB,0.5938023328781128,0.5504
S2,8914,2,22,FL-BB,0.5920476913452148,0.547
S2,8914,2,23,FL-BB,0.42240825295448303,0.6451
S2,8914,2,24,FL-BB,0.7278761267662048,0.7578
S2,8914,2,25,FL-BB,0.5110158920288086,0.6136
S2,8914,2,26,FL-BB,0.8528341054916382,0.6379
S2,8914,2,27,FL-BB,0.6579841375350952,0.7107
S2,8914,2,28,FL-BB,0.678257405757904,0.7459
S2,8914,2,29,FL-BB,0.5439783334732056,0.543
S2,8914,2,30,FL-BB,0.4704159200191498,0.5152
S2,8914,2,31,FL-BB,0.47969838976860046,0.5492
S2,37,2,0,FL-BB,0.6702573299407959,0.7388
S2,37,2,1,FL-BB,0.39031079411506653,0.3863
S2,37,2,2,FL-BB,0.39028531312942505,0.4761
S2,37,2,3,FL-BB,0.6017293930053711,0.6078
S2,37,2,4,FL-BB,0.4270484447479248,0.5801
S2,37,2,5,FL-BB,0.3700000047683716,0.6486
S2,37,2,6,FL-BB,0.45515912771224976,0.6421
S2,37,2,7,FL-BB,0.16957469284534454,0.3202
S2,37,2,8,FL-BB,0.44718843698501587,0.6564
S2,37,2,9,FL-BB,0.2684798836708069,0.4235
S2,37,2,10,FL-BB,0.5411089658737183,0.6438
S2,37,2,11,FL-BB,0.30055293440818787,0.4817
S2,37,2,12,FL-BB,0.2515309453010559,0.4189
S2,37,2,13,FL-BB,0.26328739523887634,0.7099
S2,37,2,14,FL-BB,0.1829303801059723,0.4546
S2,37,2,15,FL-BB,0.31734779477119446,0.4529
S2,37,2,16,FL-BB,0.5194874405860901,0.6396
S2,37,2,17,FL-BB,0.44462719559669495,0.5556
