stage,seed,n_video,video,backbone,accuracy,f1
FE,8914,2,78,CEN-BB,0.5764546684709067,0.4588958974742218
FE,8914,2,75,CEN-BB,0.7977119084763391,0.4054772361751751
FE,8914,2,49,CEN-BB,0.7402752842609216,0.5942612103952954
FE,8914,2,54,CEN-BB,0.5409677419354839,0.41405313444107333
FE,8914,2,66,CEN-BB,0.7209429824561403,0.5954102190961273
FE,8914,2,76,CEN-BB,0.6070215175537939,0.45883988931497866
FE,8914,2,70,CEN-BB,0.6867671691792295,0.58695716586613
FE,8914,2,53,CEN-BB,0.7782515991471215,0.5274917431313837
FE,8914,2,55,CEN-BB,0.6181292189006751,0.502393229261416
FE,8914,2,74,CEN-BB,0.412484700122399,0.3798048349890148
FE,8914,2,59,CEN-BB,0.7304015296367112,0.4394137169686087
FE,8914,2,61,CEN-BB,0.6477659333182127,0.29547248339573795
FE,8914,2,60,CEN-BB,0.6090047393364929,0.39130356791336646
FE,8914,2,80,CEN-BB,0.7296983758700696,0.41635782289265666
FE,8914,2,79,CEN-BB,0.5764499121265377,0.4482777942343851
FE,8914,2,52,CEN-BB,0.7141403865717192,0.597159353923013
FE,8914,2,68,CEN-BB,0.712474645030426,0.5552985939552211
FE,8914,2,51,CEN-BB,0.5723505434782609,0.4388978735390438
FE,8914,2,72,CEN-BB,0.5849967804249839,0.5148742906666877
FE,8914,2,67,CEN-BB,0.5932851678708032,0.4178257036674486
FE,8914,2,64,CEN-BB,0.6534612176814012,0.44916132482692045
FE,8914,2,73,CEN-BB,0.5862831858407079,0.41779287800090914
FE,8914,2,62,CEN-BB,0.5393700787401575,0.4098603304972199
FE,37,4,65,FL-BB,0.8857447944474106,0.6112485417893689
FE,37,4,77,FL-BB,0.7793764988009593,0.7119081699565252
FE,37,4,50,FL-BB,0.4753199268738574,0.3389933013483322
FE,37,4,69,FL-BB,0.6913661202185792,0.524135128310547
FE,37,4,71,FL-BB,0.5176938369781312,0.2755413709055944
FE,37,4,63,FL-BB,0.4037285173317798,0.37258736925413877
FE,37,4,57,FL-BB,0.5398936170212766,0.5401004176532735
FE,37,4,56,FL-BB,0.5267175572519084,0.5083141139656788
FE,37,4,58,FL-BB,0.3585850158518271,0.29152178822378877
FE,37,4,78,FL-BB,0.6021650879566982,0.5497601773763906
FE,37,4,75,FL-BB,0.8029121164846594,0.5619925035390367
FE,37,4,49,FL-BB,0.7588270496708558,0.6882484588536029
FE,37,4,54,FL-BB,0.7874193548387097,0.7303063462120419
FE,37,4,66,FL-BB,0.6551535087719298,0.5316530337907145
FE,37,4,76,FL-BB,0.7161192902982257,0.5925949315097416
FE,37,4,70,FL-BB,0.6733668341708543,0.6906268583025582
FE,37,4,53,FL-BB,0.7541882424611636,0.6486882684434104
FE,37,4,55,FL-BB,0.7280617164898746,0.5864431437946901
FE,37,4,74,FL-BB,0.5899632802937577,0.5377336030443031
FE,37,4,59,FL-BB,0.5229445506692161,0.4827381643025725
FE,37,4,61,FL-BB,0.7668405534134725,0.5257768393355968
FE,37,4,60,FL-BB,0.23696682464454977,0.2908316187561197
FE,37,4,80,FL-BB,0.5174013921113689,0.49793428737927475
FE,37,4,79,FL-BB,0.7246631517281781,0.6024144963514839
FE,37,4,52,FL-BB,0.8158697863682605,0.7244493531784995
